IP地址,端口,回源端口,TLS,城市,地区,国家,城市,TCP延迟(ms),速度(MB/s)
86.38.214.138,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,286,7.62
86.38.214.141,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,206,7.6
86.38.214.189,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,315,7.58
86.38.214.165,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,336,7.57
86.38.214.198,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,265,7.57
86.38.214.115,8443,443,TRUE,Ashburn-cf,Europe,IT,Ashburn-cf,373,7.56
86.38.214.95,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,286,7.56
86.38.214.104,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,322,7.55
86.38.214.252,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,225,7.55
86.38.214.54,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,278,7.48
86.38.214.83,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,343,7.47
86.38.214.67,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,347,7.47
86.38.214.174,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,357,7.43
86.38.214.192,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,328,7.4
86.38.214.213,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,336,7.39
86.38.214.113,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,275,7.39
86.38.214.219,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,283,7.38
86.38.214.77,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,468,7.38
86.38.214.177,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,320,7.36
86.38.214.125,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,365,7.36
86.38.214.151,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,360,7.34
86.38.214.94,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,333,7.34
86.38.214.96,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,268,7.32
45.194.53.87,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,323,7.29
86.38.214.48,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,330,7.27
86.38.214.106,8443,443,TRUE,Ashburn-cf,Europe,NL,Ashburn-cf,364,7.25
86.38.214.149,8443,443,TRUE,Ashburn-cf,North America,CA,Ashburn-cf,393,7.16
45.194.53.207,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,390,7.13
45.194.53.204,8443,443,TRUE,Ashburn-cf,Asia Pacific,IN,Ashburn-cf,188,7.11
45.194.53.193,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,368,7.1
45.194.53.118,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,246,7.08
45.194.53.111,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,369,7.05
45.194.53.128,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,337,7.03
45.194.53.196,8443,8443,TRUE,Ashburn-cf,Europe,FR,Ashburn-cf,261,7.01
45.194.53.212,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,194,6.95
45.194.53.100,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,268,6.94
45.194.53.162,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,236,6.94
45.194.53.66,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,234,6.91
45.194.53.151,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,329,6.89
45.194.53.130,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,387,6.89
45.194.53.153,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,234,6.85
45.194.53.125,8443,443,TRUE,Ashburn-cf,Europe,SE,Ashburn-cf,275,6.83
102.177.176.219,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,351,6.82
45.194.53.63,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,286,6.82
45.194.53.102,8443,443,TRUE,Ashburn-cf,Europe,GB,Ashburn-cf,231,6.79
45.194.53.24,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,461,6.79
45.194.53.8,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,280,6.78
45.194.53.2,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,287,6.74
45.194.53.62,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,364,6.72
45.194.53.62,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,317,6.7
45.194.53.62,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,388,6.68
45.194.53.62,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,337,6.68
45.194.53.62,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,285,6.66
45.194.53.62,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,257,6.64
45.194.53.62,8443,443,TRUE,Ashburn-cf,Europe,NL,Ashburn-cf,296,6.64
