IP地址,端口,回源端口,TLS,城市,地区,国家,城市,TCP延迟(ms),速度(MB/s)
158.178.159.13,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,320,8.06
141.148.236.78,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,335,8.06
130.162.214.119,443,443,TRUE,Paris,Europe,FR,Paris,314,8.05
143.47.230.251,443,443,TRUE,Paris,Europe,FR,Paris,382,8.03
130.162.175.216,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,377,8.02
132.145.54.84,8443,443,TRUE,London,Europe,GB,London,213,8.01
84.8.147.120,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,389,8.01
130.162.242.27,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,353,8
130.162.214.220,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,448,7.95
130.162.231.250,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,355,7.94
141.144.205.125,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,323,7.91
143.47.242.142,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,250,7.85
138.2.179.240,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,397,7.82
158.178.156.106,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,314,7.8
152.70.57.218,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,300,7.8
141.148.245.79,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,262,7.79
141.148.245.114,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,371,7.76
143.47.229.16,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,269,7.76
152.70.179.158,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,279,7.76
141.147.70.41,443,443,TRUE,Zurich,Europe,CH,Zurich,284,7.75
141.147.77.179,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,266,7.74
141.147.118.53,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,234,7.73
193.122.122.64,443,443,TRUE,Los Angeles,North America,US,Los Angeles,461,7.72
144.21.33.209,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,216,7.72
152.70.58.184,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,340,7.71
129.154.192.91,443,443,TRUE,Los Angeles,North America,US,Los Angeles,245,7.7
193.123.38.142,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,438,7.7
138.2.142.20,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,326,7.67
132.226.17.151,443,443,TRUE,Los Angeles,North America,US,Los Angeles,323,7.67
158.178.158.185,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,286,7.62
84.235.162.187,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,206,7.6
132.226.18.125,443,443,TRUE,Los Angeles,North America,US,Los Angeles,315,7.58
129.154.217.15,443,443,TRUE,Los Angeles,North America,US,Los Angeles,336,7.57
152.70.50.4,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,265,7.57
144.24.243.207,443,443,TRUE,Milan,Europe,IT,Milan,373,7.56
146.56.190.6,443,443,TRUE,Los Angeles,North America,US,Los Angeles,286,7.56
152.70.89.121,443,443,TRUE,Los Angeles,North America,US,Los Angeles,322,7.55
164.152.26.70,2052,443,TRUE,Chicago,North America,US,Chicago,225,7.55
158.178.149.107,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,278,7.48
130.162.63.37,443,443,TRUE,Düsseldorf,Europe,DE,Düsseldorf,343,7.47
152.70.59.74,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,347,7.47
138.2.134.76,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,357,7.43
130.162.38.61,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,328,7.4
129.153.45.122,443,443,TRUE,Ashburn,North America,US,Ashburn,336,7.39
158.178.149.228,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,275,7.39
158.178.147.92,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,283,7.38
193.123.60.160,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,468,7.38
79.72.70.194,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,320,7.36
143.47.188.168,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,365,7.36
130.162.171.77,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,360,7.34
84.235.173.198,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,333,7.34
152.70.51.161,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,268,7.32
138.2.160.112,443,443,TRUE,Düsseldorf,Europe,DE,Düsseldorf,323,7.29
141.148.233.108,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,330,7.27
152.70.52.215,443,443,TRUE,Amsterdam,Europe,NL,Amsterdam,364,7.25
68.233.127.163,8443,443,TRUE,Montréal,North America,CA,Montréal,393,7.16
138.2.182.220,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,390,7.13
129.154.254.254,8443,443,TRUE,Mumbai,Asia Pacific,IN,Mumbai,188,7.11
130.162.168.99,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,368,7.1
79.72.78.175,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,246,7.08
141.144.198.204,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,369,7.05
130.162.39.121,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,337,7.03
141.145.205.115,8443,8443,TRUE,Paris,Europe,FR,Paris,261,7.01
141.147.115.65,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,194,6.95
146.56.156.45,443,443,TRUE,Los Angeles,North America,US,Los Angeles,268,6.94
158.178.159.161,443,443,TRUE,Hamburg,Europe,DE,Hamburg,236,6.94
152.70.42.71,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,234,6.91
143.47.184.237,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,329,6.89
152.70.155.147,443,443,TRUE,Los Angeles,North America,US,Los Angeles,387,6.89
150.230.151.164,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,234,6.85
129.151.204.91,443,443,TRUE,Stockholm,Europe,SE,Stockholm,275,6.83
129.154.220.146,443,443,TRUE,Los Angeles,North America,US,Los Angeles,351,6.82
130.162.187.119,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,286,6.82
132.145.54.84,2053,443,TRUE,London,Europe,GB,London,231,6.79
193.123.63.48,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,461,6.79
143.47.188.115,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,280,6.78
158.178.151.222,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,287,6.74
79.76.114.224,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,364,6.72
129.80.238.231,443,443,TRUE,Ashburn,North America,US,Ashburn,317,6.7
84.8.146.96,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,388,6.68
141.147.26.50,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,337,6.68
